group	fraction_aag_like_cds	fraction_aag_like_3utr
other	0.2972972972972973	0.6216216216216216
low_clip_control	0.3529411764705882	0.6176470588235294
functional_target	0.1111111111111111	0.7777777777777778
low_clip_control	0.4705882352941176	0.0588235294117647
low_clip_control	0.4285714285714285	0.5238095238095238
low_clip_control	0.6666666666666666	0.2222222222222222
low_clip_control	0.7272727272727273	0.0909090909090909
low_clip_control	0.8695652173913043	0.0652173913043478
other	0.4	0.3
low_clip_control	0.9655172413793104	0.0
low_clip_control	0.5	0.375
low_clip_control	0.5714285714285714	0.4285714285714285
functional_target	0.4536082474226804	0.5360824742268041
other	0.7	0.2
