group	bin_start	bin_end	bin_center	n_motifs	n_genes	motifs_per_gene_per_bin
high_clip_target	0.7000000000000001	0.7250000000000001	0.7125000000000001	687	728	0.9436813186813187
high_clip_target	0.7250000000000001	0.75	0.7375	746	728	1.0247252747252746
high_clip_target	0.75	0.775	0.7625	701	728	0.9629120879120879
high_clip_target	0.775	0.8	0.7875000000000001	722	728	0.9917582417582418
high_clip_target	0.8	0.8250000000000001	0.8125	726	728	0.9972527472527473
high_clip_target	0.8250000000000001	0.8500000000000001	0.8375000000000001	686	728	0.9423076923076923
high_clip_target	0.8500000000000001	0.875	0.8625	741	728	1.0178571428571428
high_clip_target	0.875	0.9	0.8875	708	728	0.9725274725274725
high_clip_target	0.9	0.925	0.9125000000000001	688	728	0.945054945054945
high_clip_target	0.925	0.9500000000000001	0.9375	665	728	0.9134615384615384
high_clip_target	0.9500000000000001	0.9750000000000001	0.9625000000000001	601	728	0.8255494505494505
high_clip_target	0.9750000000000001	1.0	0.9875	528	728	0.7252747252747253
functional_target	0.0	0.025	0.0125	343	418	0.8205741626794258
functional_target	0.025	0.05	0.037500000000000006	335	418	0.8014354066985646
functional_target	0.05	0.07500000000000001	0.0625	398	418	0.9521531100478469
functional_target	0.07500000000000001	0.1	0.08750000000000001	407	418	0.9736842105263158
functional_target	0.1	0.125	0.1125	411	418	0.9832535885167464
functional_target	0.125	0.15000000000000002	0.1375	435	418	1.0406698564593302
functional_target	0.15000000000000002	0.17500000000000002	0.16250000000000003	418	418	1.0
functional_target	0.17500000000000002	0.2	0.1875	438	418	1.0478468899521531
functional_target	0.2	0.225	0.21250000000000002	466	418	1.1148325358851674
functional_target	0.225	0.25	0.2375	444	418	1.062200956937799
functional_target	0.25	0.275	0.2625	424	418	1.014354066985646
functional_target	0.275	0.30000000000000004	0.28750000000000003	424	418	1.014354066985646
functional_target	0.30000000000000004	0.325	0.3125	426	418	1.0191387559808613
functional_target	0.325	0.35000000000000003	0.3375	434	418	1.0382775119617225
functional_target	0.35000000000000003	0.375	0.36250000000000004	428	418	1.0239234449760766
functional_target	0.375	0.4	0.3875	393	418	0.9401913875598086
functional_target	0.4	0.42500000000000004	0.41250000000000003	417	418	0.9976076555023924
functional_target	0.42500000000000004	0.45	0.4375	436	418	1.0430622009569377
functional_target	0.45	0.47500000000000003	0.4625	373	418	0.8923444976076556
functional_target	0.47500000000000003	0.5	0.48750000000000004	393	418	0.9401913875598086
functional_target	0.5	0.525	0.5125	382	418	0.9138755980861244
functional_target	0.525	0.55	0.5375000000000001	417	418	0.9976076555023924
functional_target	0.55	0.5750000000000001	0.5625	404	418	0.9665071770334929
functional_target	0.5750000000000001	0.6000000000000001	0.5875000000000001	365	418	0.8732057416267942
functional_target	0.6000000000000001	0.625	0.6125	394	418	0.9425837320574163
functional_target	0.625	0.65	0.6375	371	418	0.8875598086124402
functional_target	0.65	0.675	0.6625000000000001	388	418	0.9282296650717703
functional_target	0.675	0.7000000000000001	0.6875	383	418	0.916267942583732
functional_target	0.7000000000000001	0.7250000000000001	0.7125000000000001	367	418	0.8779904306220095
functional_target	0.7250000000000001	0.75	0.7375	368	418	0.8803827751196173
functional_target	0.75	0.775	0.7625	383	418	0.916267942583732
functional_target	0.775	0.8	0.7875000000000001	351	418	0.8397129186602871
functional_target	0.8	0.8250000000000001	0.8125	370	418	0.8851674641148325
functional_target	0.8250000000000001	0.8500000000000001	0.8375000000000001	371	418	0.8875598086124402
functional_target	0.8500000000000001	0.875	0.8625	348	418	0.8325358851674641
functional_target	0.875	0.9	0.8875	368	418	0.8803827751196173
functional_target	0.9	0.925	0.9125000000000001	368	418	0.8803827751196173
functional_target	0.925	0.9500000000000001	0.9375	332	418	0.7942583732057417
functional_target	0.9500000000000001	0.9750000000000001	0.9625000000000001	296	418	0.7081339712918661
functional_target	0.9750000000000001	1.0	0.9875	270	418	0.645933014354067
